"","기간","자치구","loan_count","인구합계","0.4세","5.9세","10.14세","15.19세","20.24세","25.29세","30.34세","35.39세","40.44세","45.49세","50.54세","55.59세","60.64세","65.69세","70.74세","75.79세","80.84세","85.89세","90.94세","95.99세","100세.이상.","전체세대","1인세대","2인세대","3인세대","4인세대","5인세대","6인세대","7인세대","8인세대","9인세대","10인세대.이상"
"1",2016,"종로구",17997,148331.5,4302,4830,5650,8293.5,11315,11742,10843.5,10128.5,11790.5,13128,12309.5,11863.5,9188.5,7027.5,6336.5,4833.5,2809.5,1309.5,482.5,127.5,20.5,72118,34698,13049,10736,9877,2779,701,194,47,23,14
"2",2016,"중구",6790,121151.5,4266.5,3867,3491,5240,8202,9326.5,10388.5,9770,9542,9950,9781,10504,8020.5,6106,5123.5,3791.5,2227,1087.5,379,78.5,9.5,59651,28368,11780,9138,7615,2039,508,137,40,12,14
"3",2016,"용산구",6332,221883,8527,8071,8191.5,10893,14321.5,16574.5,19209.5,18532,18978,19128.5,17220,16991,13054,10017,8591.5,6856,3984.5,1902,676,140,24.5,106607,48131,21228,17086,14876,3938,963,253,84,25,23
"4",2016,"성동구",15745,292890.5,12494,11051,10508,14513.5,20767.5,22895,25559,25223.5,24648.5,24473.5,23450,23228.5,16872,12599.5,10403.5,7542.5,4102.5,1792.5,608.5,136,21.5,128727,49318,26476,24086,21959,5161,1241,356,85,29,16
"5",2016,"광진구",44103,353271.5,12902,12664.5,13621.5,19607.5,27297,31614.5,33013.5,28865,28776,30165,27889.5,27403.5,19965.5,14122.5,10945,7646,4075.5,1886,620.5,164,27,158390,65896,30862,27358,26438,5975,1364,350,99,23,25
"6",2016,"동대문구",18977,350689.5,12872,12679,12594.5,17609,26337.5,27533,28075,27710,28013.5,28291.5,27022.5,28585.5,22462,17177,14545.5,10352.5,5506.5,2352,760,185,26,159426,68367,31203,26741,24467,6463,1652,378,97,38,20
"7",2016,"중랑구",13054,406546.5,15399.5,14159.5,14415.5,21465,28910.5,29434.5,32958,31900.5,31351.5,34686.5,35211,36174,26813.5,19550,15095,10158.5,5414.5,2430,804,177.5,37.5,177400,67162,38045,33340,29549,7269,1556,343,101,22,13
"8",2016,"성북구",21847,447099,17285,19052.5,19342.5,24425,32469.5,31972,33332.5,34985.5,39397,38584.5,33945,34484.5,26564.5,20381.5,17325,12543.5,6787.5,3004.5,970,217,30,188304,69093,38167,35422,34229,8556,2075,552,127,46,37
"9",2016,"강북구",19818,323126.5,10899.5,11231,12016.5,17155.5,22154,20964,23434.5,24486,26293,27550.5,26199,27404,21710,17820.5,15118,10406.5,5185.5,2194,715,165,24.5,141229,52653,31855,26664,22483,5763,1332,325,89,42,23
"10",2016,"도봉구",16413,345443.5,12404.5,13067.5,14152.5,20440.5,24492,22694,24333,24938,27340,30188,29096,30797,22935,16422,13334,9738.5,5476.5,2540.5,854,168,32,136898,40157,30753,29216,27931,6744,1537,395,114,35,16
"11",2016,"노원구",21987,565244.5,21330.5,23385.5,29095,40410,42417.5,34746,38560.5,41637.5,48816.5,53559.5,46159,44197.5,32404,22893.5,18070.5,13749.5,8242,3912,1335,284.5,38.5,219736,63642,46108,46104,50175,10902,2152,456,134,38,25
"12",2016,"은평구",20576,486578.5,18857.5,19685,20429,27570,32447,32130.5,37507,39839,41985.5,41503.5,37797.5,38891.5,29782,23402.5,19185,13827.5,7252.5,3191,1066.5,200.5,28,201891,68747,44203,39913,36523,9534,2208,551,147,34,31
"13",2016,"서대문구",5130,306663,11431,11010,12044.5,16437,23329.5,23763.5,23747.5,23273.5,25007.5,26217,23868,23678.5,17824.5,14220,12468,9747,5349.5,2288,781.5,158.5,18.5,136766,54371,28028,24193,22750,5581,1380,344,81,17,21
"14",2016,"마포구",22212,376341.5,15782,15295.5,14940.5,18649,26227,31415,36588.5,34015,34062,31052,26870.5,26030,19199.5,14807,12857,9607.5,5493,2432,804,181,33.5,169432,70544,34435,29071,26999,6449,1423,334,103,45,29
"15",2016,"양천구",10721,475845.5,17461,21214.5,26317,35102.5,34679,29688.5,33023.5,34617.5,41398.5,46893,40995,37240.5,27138.5,18675,13069,9113,5366,2715.5,913,190.5,34.5,177434,47141,34590,38548,44091,10167,2172,489,158,46,32
"16",2016,"강서구",18967,585425,26737,23760,23577,31010.5,39675.5,44552.5,54143.5,52199,48509.5,45722.5,44334.5,47370.5,35978,25621,17681,12018,7261.5,3678,1270,282.5,43,245045,83462,52108,48885,46360,11092,2336,560,162,48,32
"17",2016,"구로구",11319,415281.5,19458,17747,15703.5,20430.5,26752,29614.5,36428.5,37205.5,34842.5,32633.5,31338.5,33407,26550.5,20207,14811,9824.5,5177.5,2260.5,708.5,157.5,23.5,172220,59834,36398,33310,32086,8092,1865,455,120,35,25
"18",2016,"금천구",8245,231819,8419,7702.5,8127.5,11886,16222.5,18093,19112.5,17704.5,18066,19981,20522,20329.5,15258.5,11303.5,8662.5,5656,2986,1271.5,405.5,97.5,12,104483,42887,21511,18199,16485,4099,980,222,59,25,16
"19",2016,"영등포구",5270,367014,15381.5,13553.5,12690.5,17232.5,23772.5,30175,34793,31715.5,29963,29213.5,28064.5,29188,22393,17354,13334.5,9503,5447,2240,804.5,178,17,165729,70252,32240,28582,26402,6243,1442,388,100,50,30
"20",2016,"동작구",6453,395233.5,15974,15068.5,14461.5,19181,29050,34061.5,36107.5,33834,32111,30486,28813.5,30084,23422.5,18545.5,14590.5,10162.5,5649,2524,877.5,203,26.5,172506,66694,35226,31402,29704,7141,1706,440,128,43,22
"21",2016,"관악구",8383,500389.5,16950,15431.5,15504,21840.5,39146,56161.5,52764.5,42961.5,39274,36627,34503,36050,29373,23792,18530,12103,5792,2544.5,838.5,173,30,251955,128682,46565,35590,30917,7735,1827,459,108,36,36
"22",2016,"서초구",9142,439368.5,19691.5,22073,22610,26928.5,28115,30702,36400,38449,40813.5,39593,31508,30262,23989.5,18141,13143.5,8310.5,4796.5,2537,1017,238,50,173970,54948,33198,34701,38514,9480,2248,602,180,53,46
"23",2016,"강남구",30897,560257,20984.5,23035.5,27129.5,38918.5,39021.5,42383.5,49005,47768,48553.5,52773,42971,38330,30519,22494,15851.5,10000.5,5756.5,3125.5,1274,312.5,50,234080,87495,42282,42456,47357,10976,2528,669,195,79,43
"24",2016,"송파구",30982,650062,27620.5,28560,29882,38848,44411,48165,56837,55774,55428.5,55718,50740.5,51151,39205,26379,17927.5,11464,6883,3440,1303.5,276,48.5,258382,81256,50740,52635,57002,12953,2832,669,211,43,41
"25",2016,"강동구",26886,445082.5,17623,18208.5,18811,26188.5,30906,31727.5,36082.5,36210,35648.5,37546.5,36802,38801.5,29320,19969,13550,8599,5113,2746.5,975,222,32.5,177460,57735,36052,35621,36625,8888,1929,430,114,42,24
