관리번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자
124307632,(The)Wheels on the bus go round and round,illustrated by Annie Kubler,,2014,9781846436741 ,,,,843,1,0,2019-11-08
124201016,똥 도둑질,정란희 글;홍영우 그림,휴먼어린이,2013,9788965910251 ,,7,,813.8,1,0,2019-11-01
124201015,아빠한테 가고 싶어요!,유다정 지음;주보희 그림,미래M&B,2012,9788983947321 ,9788983944238 ,7,,813.8,1,0,2019-11-01
124201014,도서관 생쥐,크리스틴 리치 글;로버트 로퍼 그림;조진경 옮김,푸른날개,2009,9788965590040 ,9788965590057 ,7,13,843,1,0,2019-11-01
124201013,으라차차 큰 일꾼,정해왕 글 ;이승현 그림,국민서관,2015,9788911124527 ,,7,,813.5,1,0,2019-11-01
124201012,생일 축하해!,안나 클라라 티돌름 글·그림 ;서애경 옮김,사계절출판사,2012,9788958285953 ,,7,,375.1,1,0,2019-11-01
124201011,뭐하니?,유문조 지음;최민오 그림,천둥거인,2007,9788990025159 ,,,,375.1,1,0,2019-11-01
124201010,냄새차가 나가신다!,케이트 맥뮐란 글;짐 맥뮐란 그림;조은수 옮김,대한교과서,2003,9788937813733 ,,7,,843,1,0,2019-11-01
124201009,지각대장 존,존 버닝햄 글·그림;박상희 옮김,비룡소,2003,9788949110073 ,9788949110004 ,7,,843,1,0,2019-11-01
124201008,쓰레기가 쌓이고 쌓이면…,박기영 글;이경국 그림,웅진씽크빅,2010,9788901108124 ,9788901060934 ,,,539.42,1,0,2019-11-01
124201007,Horrid Henry,FRANCESCA SIMON;Illustrated by TONY ROSS,Orion,2004,9781858815725 ,9781858815725 ,,19,747,1,0,2019-11-01
124201006,내가 진짜 조선의 멋쟁이,이흔 글;박상현 그림,웅진씽크빅,2012,9788901143880 ,9788901093291 ,7,,381,1,0,2019-11-01
124201005,숲 속 나비 이야기,다시마 세이조 글·그림;고향옥 옮김,웅진씽크빅,2012,9788901150260 ,9788901150147 ,7,,408,1,0,2019-11-01
124201004,도깨비를 빨아버린 우리 엄마,사토 와키코 글·그림;이영준 옮김,한림출판사,2002,9788970940199 ,,7,,833.8,1,0,2019-11-01
124201003,말 먹는 괴물,김수옥 글·그림,꿈소담이,2014,9788956899510 ,,7,,813.8,1,0,2019-11-01
124201002,마더 테레사=Mother Teresa,이상희 글;이용선 그림,프뢰벨,2003,9788940902127 ,9788940901984 ,7,,990.8,1,0,2019-11-01
124201001,머나먼 바다 여행,신동경 글;장호 그림,웅진씽크빅,2012,9788901150239 ,9788901150147 ,7,,408,1,0,2019-11-01
124201000,비가 오면 동물들은 어디로 가요?,제르다 뮐러 글·그림;신선영 옮김,파랑새,2007,9788961550499 ,,7,,863,1,0,2019-11-01
124200999,소년과 재규어,앨런 라비노비츠 글;카티아 친 그림;김서정 옮김,재능교육,2016,9788974997793 ,,7,,843,1,0,2019-11-01
124200998,착한 강아지 밥과 심술쟁이 도둑 랍,수 픽포드 글·그림;정철우 옮김,분홍고래,2013,9791195073504 ,,7,,843,1,0,2019-11-01
124200997,하늘은 무섭지 않아 ,고호관;이민진;임태운;우미옥;김명완 공저;조승연 그림,사계절,2016,9788958288527 ,,7,,808.9,1,0,2019-11-01
124200996,소크라테스 토끼의 똑똑한 질문들 ,아스트리드 데보르드 글 ;클라우디아 볼트 그림 ;양진성 옮김,책속물고기,2015,9791186670071 ,,7,,170,1,0,2019-11-01
124200995,한국단편소설,황순원 [등]지음,꿈과희망,2004,9788990790071 ,,7,12,813.6,1,0,2019-11-01
124200994,(교과서에 실려 있는)한국대표소설,이기훈 엮음;조민경 그림,거인,2004,9788990332318 ,9788990332196 ,7,13,813.8,1,0,2019-11-01
124200993,"(A)Bad, bad day",by Kirsten Hall;illustrated by Laura Rader,Scholastic,2003,9780439594325 ,,5,,747,1,0,2019-11-01
124200992,Pizza party!,by Grace Maccarone;illustrated by Emily Arnold McCully,Scholastic,2003,9780590475631 ,,5,,747,1,0,2019-11-01
124200989,매기와 초콜릿 전쟁:초콜릿 값 내리기 7일 대작전,미셸 멀더 글;김루시아 옮김,초록개구리,2008,9788992161145 ,9788995612613 ,7,,843,1,0,2019-11-01
124200988,(새로 만든)먼나라 이웃나라,이원복 글 · 그림,김영사,2012,9788934958277 ,9788934958185 ,,9,980.24,1,0,2019-11-01
124200987,(고정욱 선생님이 들려주는) 유관순,고정욱 글;이상권 그림,산하,2013,9788976504180 ,,7,,990.8,1,0,2019-11-01
124200985,(3학년)과학동화,허문선 글;이선주 그림,예림당,2002,9788930205337 ,,,,408,1,0,2019-11-01
124200984,"Bad luck, Lucy!",by Sue Graves;illustrated by Lisa Williams,FRANKLINWATTSBOOKS,2007,9781445111063 ,,,,843,1,0,2019-11-01
124200983,"할머니, 어디가요? 밤 주우러 간다!",조혜란 그리고 씀,보리,2010,9788984286269 ,9788984285804 ,,,813.8,1,0,2019-11-01
124200982,(제로니모의) 환상 모험,글: 제로니모 스틸턴 ;옮긴이: 이승수,,2016,9781155099569 ,,,24,883,1,0,2019-11-01
124200981,피노키오,카를로 콜로디 글;야센 유셀레프 그림;김홍래 옮김,시공사,2004,9788952741370 ,,7,,883,1,0,2019-11-01
124200980,레인저스,존 플래너건 지음;박중서 옮김,서울교육,2008,9788983782168 ,9788983782212 ,7,114,843,1,0,2019-11-01
124200979,레인저스,존 플래너건 지음;박중서 옮김,서울교육,2008,9788983782168 ,9788983782212 ,7,114,843,1,0,2019-11-01
