검색조건,,,,,,,,,
대출기간,2018-01-01 ~ 2018-12-31,,,,,,,,
성별,전체,,,,,,,,
연령,전체,,,,,,,,
지역,서울,,,,,,,,
세부지역,성북구,,,,,,,,
ISBN 부가기호,아동,,,,,,,,
주제,전체,,,,,,,,
,,,,,,,,,
제공기관 : 국립중앙도서관,,,,,,,,,
데이터 제공일 : 2019-12-23,,,,,,,,,
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.,,,,,,,,,
,,,,,,,,,
순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
1,스위스에서 보물찾기 ,글: 곰돌이 co. ;그림: 강경효,미래엔 컬처그룹,2010,25,9788937848254 ,77900,925.9,16
1,뉴질랜드에서 보물찾기 ,글: 곰돌이 co. ;그림: 강경효,미래엔,2011,26,9788937848261 ,77900,963,16
3,책 먹는 여우,프란치스카 비어만 지음;김경연 옮김,김영사,2001,,9788934908067 ,73850,853,14
3,호주에서 보물찾기,글: 곰돌이 co.;그림: 강경효,대한교과서,2006,11,9788937841972 ,77900,962,14
3,내일은 실험왕 :본격 대결 과학실험 만화,"글: 곰돌이 co. ,그림: 홍종현",미래엔,2011-2019,26,9788937884795 ,77400,400,14
6,베트남에서 보물찾기 ,글: 곰돌이 co. ;그림: 강경효,미래엔 컬처그룹,2009,20,9788937842061 ,77900,914.1,13
6,내일은 실험왕 :본격 대결 과학실험 만화,"글: 곰돌이 co. ,그림: 홍종현",미래엔,2011-2019,27,9788937884801 ,77400,400,13
6,짜장 짬뽕 탕수육,김영주 글;고경숙 그림,재미마주,2002,,9788986565522 ,73810,813.6,13
9,내일은 실험왕 :본격 대결 과학실험 만화,글: 곰돌이 co. ;그림: 홍종현,대한교과서,2006-2008,9,9788937842269 ,77400,400,12
9,바다 100층짜리 집 ,글·그림: 이와이 도시오 ;옮김: 김숙,북뱅크,2014,,9788966350278 ,74830,833.6,12
9,화요일의 두꺼비,러셀 에릭슨,사계절,2008,,9788971965559 ,73840,,12
9,지하 100층짜리 집 ,글·그림: 이와이 도시오 ;옮긴이: 김숙,북뱅크,2011,,9788989863915 ,73830,833.6,12
9,틀려도 괜찮아,마키타 신지 글;유문조 옮김,토토북,2006,,9788990611260 ,77830,833.6,12
9,장수탕 선녀님 ,지은이: 백희나,책읽는곰,2012,,9788993242706 ,77810,813.7,12
9,발레 하는 할아버지 ,신원미 글 ;박연경 그림,머스트비,2013,,9788998433147 ,73810,813.7,12
16,내일은 실험왕 :본격 대결 과학실험 만화,"글: 곰돌이 co. ,그림: 홍종현",미래엔,2011-2019,19,9788937847714 ,77400,400,11
16,종이 봉지 공주,로버트 먼치,비룡소,1998,,9788949110479 ,77840,,11
16,샌지와 빵집 주인,코키 폴 그림;김중철 옮김,비룡소,2000,,9788949110592 ,77840,843,11
16,엽기 과학자 프래니,글·그림: 짐 벤튼 ;옮김: 박수현,이퍼블릭,2008,7,9788962242409 ,74840,843,11
16,우주 호텔 ,유순희 글 ;오승민 그림,해와나무,2012,,9788962680942 ,74810,813.7,11
16,강아지똥 ,글: 권정생 ;그림: 정승각,길벗어린이,2012,,9788986621136 ,77810,813.6,11
16,100층짜리 집 ,글·그림: 이와이 도시오 ;옮김: 김숙,북뱅크,2009,,9788989863786 ,73830,833.6,11
23,Why? 우주 ,글: 이광웅 ;만화: 그림수레,예림당,2011,1,9788930202305 ,74440,408,10
23,Why? 외계인과 UFO ,글: 이광웅 ;만화: 송희석,예림당,2010,23,9788930202527 ,74440,1,10
23,몽실 언니 :권정생 소년소설 ,지은이: 권정생 ;그린이: 이철수,창작과비평사,2000,,9788936440145 ,73810,813.6,10
23,미국에서 보물찾기,곰돌이 co. 글;강경효 그림,대한교과서,2005,6,9788937840258 ,77900,942,10
