검색조건
대출기간,2018-01-01 ~ 2018-12-31
성별,전체
연령,전체
지역,서울
세부지역,성북구
ISBN 부가기호,아동
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2019-12-23
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"1","어린이 과학 형사대 CSI","글: 고희정 ;그림: 서용남","가나출판사","2008-2013","8","9788957364819","74400","400","11",
"1","날 좀 내버려 둬 :제7회 푸른문학상 동화집 ","지은이: 양인자 외","푸른책들","2009","","9788957981924","74810","813.6","11",
"3","내일은 실험왕 :본격 대결 과학실험 만화","글: 곰돌이 co. ,그림: 홍종현","미래엔","2011-2019","26","9788937884795","77400","400","10",
"3","어린이 과학 형사대 CSI","글: 고희정 ;그림: 서용남","가나출판사","2008-2013","7","9788957364796","74400","400","10",
"3","발레 하는 할아버지 ","신원미 글 ;박연경 그림","머스트비","2013","","9788998433147","73810","813.7","10",
"6","길 아저씨 손 아저씨","권정생 글 ;김용철 그림","국민서관","2009","","9788911026319","77810","813.6","9",
"6","Why? 사춘기와 성 ","글: 전지은 ;만화: 이혜조","예림당","2011","13","9788930202428","74470","408","9",
"6","Why? 별과 별자리 ","글: 파피루스 ;만화: 이두원","예림당","2011","35","9788930202640","74440","443","9",
"6","Why? 컴퓨터 바이러스 ","글: 조영선 ;만화: 이영호","예림당","2014","57","9788930206785","73560","004.6","9",
"6","내일은 실험왕 :본격 대결 과학실험 만화","글: 곰돌이 co. ;그림: 홍종현","대한교과서","2006-2008","6","9788937842238","77400","400","9",
"6","내일은 실험왕 :본격 대결 과학실험 만화","글: 곰돌이 co. ;그림: 홍종현","미래엔컬처그룹","2009-2010","15","9788937847677","77400","400","9",
"6","내일은 실험왕 :본격 대결 과학실험 만화","글: 곰돌이 co. ,그림: 홍종현","미래엔","2011-2019","21","9788937884047","77400","400","9",
"6","내일은 실험왕 :본격 대결 과학실험 만화","글: 곰돌이 co. ,그림: 홍종현","미래엔","2011-2019","27","9788937884801","77400","400","9",
"6","신기한 스쿨 버스:키즈","조애너 콜 글;브루스 디건 그림","비룡소","2001-2003","1","9788949150246","74400","400","9",
"6","모기와 황소 ","글: 현동염 ;그림: 이억배","길벗어린이","2012","","9788955820041","77810","813.6","9",
"6","어린이 과학 형사대 CSI","글: 고희정 ;그림: 서용남","가나출판사","2008-2013","9","9788957364826","74400","400","9",
"6","100층짜리 집 ","글·그림: 이와이 도시오 ;옮김: 김숙","북뱅크","2009","","9788989863786","73830","833.6","9",
"6","장수탕 선녀님 ","지은이: 백희나","책읽는곰","2012","","9788993242706","77810","813.7","9",
"19","Balloonia (Paperback)","Wood|Audrey","ChildsPlayIntlLtd","2005","","9781904550495","73740","","8",
"19","돼지책","앤서니 브라운 글·그림;허은미 옮김","웅진닷컴","2001","","9788901033518","74840","843","8",
"19","Why? 공룡 ","글: 이항선 ;만화: 송회석","예림당","2011","14","9788930202435","74490","457","8",
"19","Why? 응급처치 ","글: 파피루스 ;만화: 이준희","예림당","2011","34","9788930202633","74510","512","8",
"19","Why? 과학수사 ","글: 조영선 ;만화: 이영호","예림당","2011","51","9788930206723","73400","517","8",
"19","Why? 심리학 ","글: 조영선 ;그림: 그림수레","예림당","2011","11","9788930231428","73180","001","8",
"19","독일에서 보물찾기","글: 곰돌이 co.;그림: 강경효","대한교과서","2007","10","9788937840296","77900","925","8",
"19","내일은 실험왕 :본격 대결 과학실험 만화","글: 곰돌이 co. ,그림: 홍종현","미래엔","2011-2019","19","9788937847714","77400","400","8",
"19","이모의 결혼식","선현경 글·그림","비룡소","2004","","9788949100487","77810","813.6","8",
"19","신기한 스쿨 버스:키즈","조애너 콜 글;브루스 디건 그림","비룡소","2001-2003","2","9788949150253","74400","400","8",
"19","어린이 과학 형사대 CSI","글: 고희정 ;그림: 서용남","가나출판사","2008-2013","6","9788957364703","74400","400","8",
"19","어린이 과학 형사대 CSI","글: 고희정 ;그림: 서용남","가나출판사","2008-2013","21","9788957365670","74400","400","8",
"19","프린들 주세요","앤드루 클레먼츠 지음;양혜원 그림","사계절출판사","2001","","9788971968345","73810","843","8",
"19","강아지똥 ","글: 권정생 ;그림: 정승각","길벗어린이","2012","","9788986621136","77810","813.6","8",
"19","천 원은 너무해! ","전은지 글 ;김재희 그림","책읽는곰","2012","","9788993242584","74810","320","8",
"34","도토리 마을의 유치원 ","글·그림: 나카야 미와 ;옮김: 김난주","웅진주니어","2014","","9788901165806","74800","833.6","7",
"34","Why? 식품과 영양 ","글: 조영선 ;만화: 이영호","예림당","2011","40","9788930202688","74470","594","7",
"34","Why? 파충.양서류 - 2판","파피루스","예림당","2008","39","9788930202695","74590","","7",
"34","Why? 물고기 ","글: 김남길 ;만화: 송회석","예림당","2011","45","9788930202749","74490","497","7",
"34","허브 마녀의 신기한 레시피 ","글·그림: 안비루 야스코 ;옮김: 이민영","예림당","2011","1","9788930210591","73830","833.6","7",
"34","Why? 책과 인쇄술 ","글: 조영선 ;그림: 송회석","예림당","2010","2","9788930231350","73580","001","7",
"34","Why? 집과 건축 ","글: 조영선 ;그림: 이영호","예림당","2011","9","9788930231480","74610","001","7",
"34","Why? 발표력","박세준","예림당","2011","14","9788930231503","74300","","7",
"34","Why? 漢字 이야기 ","글: 조영선 ;그림: 이영호","예림당","2011","13","9788930231510","74720","001","7",
"34","Why? 세계 유산 ","글: 조영선 ;그림: 이영호","예림당","2012","19","9788930231558","73900","001","7",
"34","Why? SNS =소셜 네트워크 서비스 ","글: 조영선 ;그림: 이영호","예림당","2014","24","9788930231633","73560","001","7",
"34","어두운 계단에서 도깨비가:임정자 동화집","임정자 지음;이형진 그림","창작과 비평사","2001","","9788936451042","73810","813.6","7",
"34","내일은 실험왕 :본격 대결 과학실험 만화","글: 곰돌이 co. ;그림: 홍종현","대한교과서","2006-2008","5","9788937842221","77400","400","7",
"34","내일은 실험왕 :본격 대결 과학실험 만화","글: 곰돌이 co. ;그림: 홍종현","대한교과서","2006-2008","8","9788937842252","77400","400","7",
"34","내일은 실험왕 :본격 대결 과학실험 만화","글: 곰돌이 co. ;그림: 홍종현","미래엔컬처그룹","2009-2010","11","9788937847639","77400","400","7",
"34","내일은 실험왕 :본격 대결 과학실험 만화","글: 곰돌이 co. ,그림: 홍종현","미래엔","2011-2019","17","9788937847691","77400","400","7",
"34","쿠바에서 보물찾기 ","글: 곰돌이 co. ;그림: 강경효","미래엔 컬처그룹","2010","23","9788937847998","77900","949.1","7",
"34","핀란드에서 보물찾기 ","글: 스토리 a. ;그림: 강경효","미래엔","2013","31","9788937884412","77900","923.6","7",
"34","입이 똥꼬에게 ","박경효 글·그림","비룡소","2008","","9788949101583","77810","813.6","7",
"34","지각대장 존 ","존 버닝햄 글·그림 ;박상희 옮김","비룡소","2006","","9788949110073","74480","843","7",
"34","거짓말 같은 이야기 ","강경수 글·그림","시공사","2011","","9788952760661","77810","813.7","7",
"34","황 반장 똥 반장 연애 반장 ","송언 글 ;윤정주 그림","문학동네","2012","","9788954619370","73810","813.7","7",
"34","엄마가 정말 좋아요 ","미야니시 다쓰야 글·그림 ;이기웅 옮김","길벗어린이","2015","","9788955823295","77830","833.6","7",
"34","고구마구마 ","지은이: 사이다","반달","2017","","9788956187372","77810","813.7","7",
"34","어린이 과학 형사대 CSI","글: 고희정 ;그림: 서용남","가나출판사","2008-2013","4","9788957364598","74400","400","7",
"34","어린이 과학 형사대 CSI","글: 고희정 ;그림: 서용남","가나출판사","2008-2013","5","9788957364642","74400","400","7",
"34","어린이 과학 형사대 CSI","글: 고희정 ;그림: 서용남","가나출판사","2008-2013","10","9788957364932","74400","400","7",
"34","어린이 과학 형사대 CSI","글: 고희정 ;그림: 서용남","가나출판사","2008-2013","14","9788957365243","74400","400","7",
"34","윔피 키드","글, 그림: 제프 키니 ;양진성","푸른날개","2009-2015","7","9788965590682","74840","843","7",
"34","윔피 키드","글, 그림: 제프 키니 ;양진성","푸른날개","2009-2015","9","9788965590972","74840","843","7",
"34","바다 100층짜리 집 ","글·그림: 이와이 도시오 ;옮김: 김숙","북뱅크","2014","","9788966350278","74830","833.6","7",
"34","숭례문 ","서찬석 글 ;주보희 그림","미래M&B","2012","","9788983947048","77610","610","7",
"34","터널","앤서니 브라운 글·그림;장미란 옮김","논장","2002","","9788984140509","77840","843","7",
"34","세상에서 제일 힘센 수탉 ","글쓴이: 이호백 ;그린이: 이억배","재미마주","1997","","9788986565041","77810","813.6","7",
"34","짜장 짬뽕 탕수육","김영주 글;고경숙 그림","재미마주","2002","","9788986565522","73810","813.6","7",
"34","틀려도 괜찮아","마키타 신지 글;유문조 옮김","토토북","2006","","9788990611260","77830","833.6","7",
"34","유치원 버스 아저씨의 비밀 ","가와노우에 에이코,김윤정 옮김","키다리","2015","","9791157850099","77830","833.6","7",
