검색조건
대출기간,2018-01-01 ~ 2018-12-31
성별,전체
연령,영유아(0~5세)
지역,서울
세부지역,성북구
ISBN 부가기호,전체
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2019-12-17
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"1","Hey, Mr. Choo Choo, Where Are You Going? (My Little Library Pre-Step 46)","Susan Wickberg","PenguinGroupUSA","2009","46","9780142414712","50899","","4",
"1","노부영 Choo! Choo!","DK","제이와이북스","2011","","9788954917216","","","4",
"3","My Crayons Talk (Paperback)","Hubbard, Patricia|Karas, G. Brian (ILT)","HenryHolt&Co","2007","","9780805061505","50799","","3",
"3","The Mystery of the Mona Lisa (Paperback) (Secret Agent Jack Stalwart)","Hunt|Elizabeth Singer","LittleBrown&Co","2007","3","9781602860018","55499","","3",
"3","The Secret of the Sacred Temple (Paperback) (Secret Agent Jack Stalwart)","Hunt|Elizabeth Singer","LittleBrown&Co","2008","5","9781602860032","55499","","3",
"3","The Escape of the Deadly Dinosaur (Secret Agent Jack Stalwart #01)","Hunt|Elizabeth Singer","LittleBrown&Co","2007","1","9781602860049","50599","","3",
"3","The Caper of the Crowned Jewels Uk (Paperback) (Secret Agent Jack Stalwart Book 4 (Secret Agent Jack Stalwart))","Hunt|Elizabeth Singer","LittleBrown&Co","2007","4","9781602860131","55499","","3",
"3","I went walking","Sue Williams","JYBooks","2001","","9788989312260","73740","","3",
"9","뽀로로 극장판 컴퓨터왕국 대모험 - 한국어 더빙판","이선, 함수정, 이미자 (목소리), 박영균 (감독)","KD미디어(케이디미디어)","2016","","8809362349671","","","2",
"9","Do You Want to Be My Friend? (Paperback)","에릭 칼","HARPER","1987","","9780064431279","50699","","2",
"9","Alphabet Ice Cream : A Fantastic Fun-filled ABC (Paperback)","닉 샤렛, 수 힙 (지은이)","Puffin Books","2007","43","9780141500621","","","2",
"9","Odd Egg","Emily Gravett","Children's","2009","","9780230531352","90100","","2",
"9","Five Little Monkeys Jumping on the Bed (Paperback)","Eileen Christelow","ClarionBooks","2003","","9780395557013","90000","","2",
"9","David gets in trouble ","by David Shannon","Scholastic Inc.","2003, c200","","9780439051545","50499","","2",
"9","Zack Files 03: A Ghost Named Wanda (Paperback)","Dan Greenburg","GROSSET&DUNLAP","2011","3","9780448412610","41261","","2",
"9","Zack Files 04: Zap! I'm a Mind Reader (Paperback)","Dan Greenburg","GROSSET&DUNLAP","2011","4","9780448412634","41263","","2",
"9","The Canary Caper (Paperback)","론 로이","RandomHouse","1998","3","9780679885931","88593","","2",
"9","A to Z Mysteries: The Empty Envelope (Paperback)","Ron Roy","RANDOMHOUSE","2011","5","9780679890546","89054","","2",
"9","Tomorrow's Alphabet (Paperback)","Shannon|George|CREWS|Donald","MulberryBooks","1999","","9780688164249","78740","","2",
"9","Today Is Monday","by Eric Carle","","2009","11","9780689115637","50699","808.9","2",
"9","Lunch Walks Among Us (Paperback)","Benton","Aladdin","2005","1","9780689862953","","","2",
"9","Attack of the 50-ft. Cupid ","Jim Benton","Simon & Schuster Books for Young Readers","c2004","2","9780689862960","50499","","2",
"9","The Invisible Fran (Paperback)","Benton","Aladdin","2005","3","9780689862977","50499","","2",
"9","The Fran That Time Forgot (Paperback)","Benton","Aladdin","2005","4","9780689862984","50499","","2",
