검색조건
대출기간,2018-01-01 ~ 2018-12-31
성별,전체
연령,청소년(14~19세)
지역,서울
세부지역,성북구
ISBN 부가기호,전체
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2019-12-06
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"1","Penguin Readers Level 5 : Pride and Prejudice (Penguin Readers Level 5)","Jane Austen","Longman","2008","","9781405862462","","","5",
"1","(오주석의)한국의 美 특강","오주석 지음","솔출판사","2003","","9788981335991","03900","653.11","5",
"3","빨강머리 앤이 하는 말 :백영옥 에세이 ","지은이: 백영옥","arte(아르테)","2016","","9788950965693","03810","814.7","4",
"3","쇼코의 미소 :최은영 소설 ","지은이: 최은영","문학동네","2016","","9788954641630","03810","813.7","4",
"3","Dr Jekyll & Mr Hyde (Paperback 1권 + Audio CD 3개) - Usborne Classics Retold 엣센셜편","로버트 루이스 스티븐슨 (지은이)","Usborne","2011","25","9788961753500","","","4",
"6","메이즈 러너: 스코치 트라이얼","딜런 오브라이언, 토마스 생스터, 이기홍 (출연), 웨스 볼 (감독)","20세기폭스","2016","","8809461423555","","","3",
"6","관촌수필:연작소설집","이문구","문학과지성사","2003","","9788932008509","03810","813.6","3",
"6","나는 고양이로소이다 ","지은이: 나쓰메 소세키 ;옮긴이: 송태욱","현암사","2013","1","9788932316758","04830","833.6","3",
"6","정의란 무엇인가 ","저자: 마이클 샌델 ;역자: 이창신","김영사","2010","","9788934939603","03330","193","3",
"6","옷장 속의 세계사 ","이영숙 지음","창비","2013","","9788936452100","43900","909","3",
"6","불편해도 괜찮아 :영화보다 재미있는 인권 이야기 ","김두식 지음","창비","2010","","9788936471897","03300","342.1","3",
"6","트와일라잇 :스테프니 메이어 장편소설 ","스테프니 메이어 [지음] ;변용란 옮김","대한교과서","2008","1","9788937832208","03840","843","3",
"6","정의란 무엇인가 ","지은이: 마이클 샌델 ;옮긴이: 김명철","미래엔","2014","","9788937834790","03300","193","3",
"6","모모","미하엘 엔데 지음;한미희 옮김","비룡소","1999","","9788949190020","43850","853","3",
"6","비하인드 도어 :B.A. 패리스 장편소설 ","지은이: B.A. Paris ;옮긴이: 이수영","arte(아르테)","2017","","9788950970888","03840","843.6","3",
"6","모두를 위한 페미니즘 ","벨 훅스 지음 ;이경아 옮김","문학동네","2017","","9788954644815","03300","337.2","3",
"6","종의 기원 =정유정 장편소설 /The origin of species ","지은이: 정유정","은행나무","2016","","9788956609959","03810","813.7","3",
"6","(이금이 성장소설)유진과 유진","이금이 지음","푸른책들","2004","","9788957980132","03810","813.6","3",
"6","너는 착한 아이야 ","나카와키 하쓰에 지음 ;홍성민 옮김","작은씨앗","2013","","9788964231586","43830","833.6","3",
"6","메이즈 러너 ","제임스 대시너 지음 ;공보경 옮김","문학수첩","2012","1","9788983924469","03840","843.6","3",
"6","확신의 함정 :금태섭 변호사의 딜레마에 빠진 법과 정의 이야기 ","지은이: 금태섭","한겨레출판","2011","","9788984314764","03360","360.004","3",
"6","죽은 시인의 사회","톰 슐만 지음;한은주 옮김","서교출판사","2003","","9788988027400","03840","843","3",
"6","화학으로 이루어진 세상","K. 메데페셀헤르만,권세훈 옮김","에코리브르","2007","","9788990048820","03430","430","3",
"6","왜 세계의 절반은 굶주리는가?:유엔 식량특별조사관이 아들에게 들려주는 기아의 진실","장 지글러 지음;유영미 옮김","갈라파고스","2007","","9788990809179","03300","335.7","3",
"6","난장이가 쏘아올린 작은 공:조세희 소설집","조세희","이성과 힘","2000","","9788995151204","03810","813.6","3",
"6","(네가 어떤 삶을 살든) 나는 너를 응원할 것이다 :공지영 산문 ","공지영","오픈하우스","2008","","9788996047636","03800","814.6","3",
"6","너의 이름은. =Your name. ","지은이: 신카이 마코토 ;옮긴이: 박미정","대원씨아이","2017","","9791133440054","03830","833.6","3",
"6","괴짜 물리학 :기발한 상상력으로 풀어낸 지적 교양을 위한 물리학 입문서 ","렛 얼레인 지음 ;정훈직 옮김","북라이프","2016","","9791185459431","03400","420","3",
"29","인크레더블 - 아웃케이스 없음","홀리 헌터, 사무엘 L. 잭슨, 크레이그 T. 넬슨 (출연), 브래드 버드 (감독)","월트디즈니","2005","","8809274082482","","688.6","2",
"29","[I Can Read] Level 2 : Teach Us, Amelia Bedelia (Paperback)","Parish","HarperTrophy","2004","239","9780060511142","50399","","2",
"29","Zack's Alligator and the First Snow (Paperback)","Mozelle|Shirley","HarperCollins","2011","289","9780061473722","","","2",
"29","Fancy Nancy: The Dazzling Book Report (Paperback)","제인 오코너, Jane O'Connor (지은이), 테드 에니크 (그림)","Harpercollins Childrens Books","2009","137","9780061703683","50399","","2",
"29","Zack's Alligator Goes to School (Paperback)","Shirley Mozelle (지은이), James Watts (그림)","Harpercollins Childrens Books","1998","290","9780064442480","50399","","2",
"29","Bravo, Amelia Bedelia! (Paperback)","Herman Parish (지은이)","Greenwillow","2002","235","9780064443180","50399","","2",
"29","Where Is the Green Sheep? (Paperback)","by Mem Fox","Harcourt","2004","","9780152062866","","747","2",
"29","The Berenstain Bears' Dollars and Sense (Paperback) - The Berenstain Bears #59","Stan Berenstain, Jan Berenstain, Kate Klimo (지은이)","Random House Childrens Books","2001","59","9780375811241","50399","","2",
"29","The Berenstain Bears and the Real Easter Eggs (Paperback) - The Berenstain Bears #14","Stan Berenstain, Jan Berenstain (지은이)","Random House Childrens Books","2002","14","9780375811333","50399","","2",
"29","Nate the Great and the stolen base","by Marjorie Weinman Sharmat;illustrated by Marc Simont","Yearling","2006, c199","14","9780440409328","","","2",
"29","Nate the Great and the crunchy Christmas ","by Marjorie Weinman Sharmat,illustrated by Marc Simont","Yearling","2005, c199","3","9780440412991","","","2",
"29","Nate the Great and the monster mess","by Marjorie Weinman Sharmat;in the style of Marc Simont","Yearling","2005, c199","22","9780440416623","","","2",
"29","OLIVIA SHARP (THE PRINCESS OF THE FILLMORE STREET SCHOOL)","Marjorie Weinman Sharmat|Mitchell Sharmat","Yearling","2006","28","9780440420606","50450","","2",
"29","Nate the Great and the sticky case ","by Marjorie Weinman Sharmat ;illustrated by Marc Simont","Yearling","2006, c197","8","9780440462897","","","2",
"29","Papa, Please Get the Moon for Me (Paperback)","에릭 칼","ALADDIN","1999","","9780689877568","50799","","2",
"29","Quick as a Cricket (Paperback)","Wood|Audrey","ChildsPlay","2001","","9780859533065","","","2",
"29","Look Out, Suzy Goose (Paperback)","Petr Horacek (지은이)","Walker Books","2009","","9781406317640","90100","","2",
"29","경제학 콘서트","팀 하포드 지음;김명철 옮김","웅진씽크빅","2006","1","9788901054889","03320","320.4","2",
"29","세계 제국이 등장하다 :900년~1500년 ","강미경 글 ;김수현 그림","웅진주니어","2008","3","9788901080147","74900","909","2",
"29","청춘의 독서 :세상을 바꾼 위험하고 위대한 생각들 ","유시민 지음","웅진씽크빅","2009","","9788901101569","03810","029.1","2",
"29","심리학, 열일곱 살을 부탁해 :대한민국 10대를 위한 유쾌한 심리학 ","이정현 지음","웅진씽크빅","2010","","9788901106694","03180","180","2",
"29","멈추지 마, 다시 꿈부터 써봐 :73개의 꿈을 쓰고 세계에 도전하다 ","김수영 지음","웅진지식하우스","2010","","9788901107585","03810","818","2",
"29","FBI 행동의 심리학 :말보다 정직한 7가지 몸의 단서 ","지은이: 조 내버로,옮긴이: 박정길","웅진씽크빅","2010","","9788901110806","03320","181.81","2",
"29","Little star","adapted by Sarah Willson","Language world","2010","5","9788925652016","","843","2",
"29","목·어깨 통증홈트 :머리, 목, 어깨의 만성 통증이 사라지는 홈 트레이닝 프로젝트 ","남세희 지음","중앙일보플러스","2017","","9788927808749","14510","512.4","2",
"29","내일은 바게트 :이은용 장편소설 ","지은이: 이은용","문학과지성사","2014","","9788932025353","43810","813.7","2",
