관리번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"131029756","스파이더맨:파 프롬 홈","존 왓츠 감독","소니픽쳐스","2019","8809646801536","","","","688.2","1","0","2019-12-31",
"131029755","바다의 전설","벤자민 토 감독","에이트리","2019","8809619413124","","","","688.6","1","0","2019-12-31",
"131029754","국가부도의 날=Default","최국희 감독","아이브엔터테인먼트","2019","8809276106797","","","","688.2","1","0","2019-12-31",
"131029753","나이팅게일","필립 뮬 감독","(주)영화사 백두대간","2019","8809270749051","","","","688.2","1","0","2019-12-31",
"131029752","하나식당","최낙희 감독","알스컴퍼니","2019","8809495332281","","","","688.2","1","0","2019-12-31",
"131029751","마다가스카의 펭귄","에릭 다넬;사이몬 J. 스미스 [공]감독","유니버설픽쳐스","2018","8809639451809","","","","688.6","1","0","2019-12-31",
"131029750","맨 인 블랙: 인터내셔널","F. 게리 그레이 감독","소니픽쳐스","2019","8809646801420","","","","688.2","1","0","2019-12-31",
"131029749","반 고흐: 위대한 유산","핌 반 호브 감독","미디어포유","2019","8809619415098","","","","688.2","1","0","2019-12-31",
"131029748","강아지 똥","권오성 감독","미디어포유","2019","8809619414572","","","","688.6","1","0","2019-12-31",
"131029745","명탐정 코난:제로의 집행인","타치카와 유즈루 감독","버즈픽쳐스","2019","8809276108593","","","","688.6","1","0","2019-12-31",
"131029744","몬스터 파크","안드레스 코투리어;토드 레스닉 [공]감독","비디오여행","2019","8809270749877","","","","688.6","1","0","2019-12-31",
"131029743","언더더 씨","에반 트라멜 감독","인조인간","2019","8809602680823","","","2","688.6","1","0","2019-12-31",
"131029742","안시성","김광식 감독","인조인간","2019","8809602680823","","","","688.2","1","0","2019-12-31",
"131029741","명당=明堂","박희곤 감독","인조인간","2019","8809602680977","","","","688.2","1","0","2019-12-31",
"131029739","드래곤 길들이기","딘 데블로이스 감독","유니버설픽쳐스","2019","8809639450130","","","3","688.6","1","0","2019-12-31",
"131029737","신밧드와 마법 양탄자","카르스텐 킬레리치 감독","하은미디어","2019","8809276107152","","","","688.6","1","0","2019-12-31",
"131000436","(How so? 필독도서 세계 명작문학) 서술형 생각 풀이","이정희 지음","","2019","9791157560806","","7","100","808.3","1","0","2019-12-24",
"131000435","(How so? 필독도서 세계 명작문학) 논리적 생각 다지기","이정희 지음","","2019","9791157560790","","7","99","808.3","1","0","2019-12-24",
"131000434","(How so? 필독도서 세계 명작문학) 아름다운 발레 이야기","정재은 엮음;최영란 그림","","2019","9791157560776","","7","98","808.3","1","0","2019-12-24",
"131000433","(How so? 필독도서 세계 명작문학) 꽃의 전설","정재은 엮음;온인애 그림","","2019","9791157560769","","7","97","808.3","1","0","2019-12-24",
"131000432","(How so? 필독도서 세계 명작문학) 별자리 이야기","정재은 엮음;이소연 그림","","2019","9791157560752","","7","96","808.3","1","0","2019-12-24",
"131000431","(How so? 필독도서 세계 명작문학) 세계의 명시","조원규 엮음;최용호;최유미;신유미 그림","","2019","9791157560783","","7","95","808.3","1","0","2019-12-24",
"131000430","(How so? 필독도서 세계 명작문학) 아라비안 나이트","신정민 엮음;최영란 그림","","2019","9791157560011","","7","94","808.3","1","0","2019-12-24",
"131000429","(How so? 필독도서 세계 명작문학) 탈무드","김연 엮음;전혜령 그림","","2019","9791157560134","","7","93","808.3","1","0","2019-12-24",
"131000428","(How so? 필독도서 세계 명작문학) 세계의 신화","이정희 엮음;안재선 그림","","2019","9791157560721","","7","92","808.3","1","0","2019-12-24",
"131000427","(How so? 필독도서 세계 명작문학) 트로이 이야기","호메로스 지음;정재은 엮음;류동필 그림","","2019","9791157560745","","7","91","808.3","1","0","2019-12-24",
"131000426","(How so? 필독도서 세계 명작문학) 그리스 신화","토머스 불핀치 지음;신이주 엮음;강신광 그림","","2019","9791157560738","","7","90","808.3","1","0","2019-12-24",
"131000425","(How so? 필독도서 세계 명작문학) 세계의 옛이야기","김연 엮음;박경란 그림","","2019","9791157560714","","7","89","808.3","1","0","2019-12-24",
"131000424","(How so? 필독도서 세계 명작문학) 이솝·라퐁텐 우화","이솝;라퐁텐 지음;신정민 엮음;정광필 그림","","2019","9791157560158","","7","88","808.3","1","0","2019-12-24",
"131000423","(How so? 필독도서 세계 명작문학) 안데르센 단편선","한스 크리스티안 안데르센 지음;김원선 엮음;정윤철 그림","","2019","9791157560141","","7","87","808.3","1","0","2019-12-24",
"131000422","(How so? 필독도서 세계 명작문학) 톨스토이 단편선","레프 톨스토이 지음;신정민 엮음;유현아 그림","","2019","9791157560707","","7","86","808.3","1","0","2019-12-24",
"131000421","(How so? 필독도서 세계 명작문학) 헤세 동화집","헤르만 헤세 지음;조원규 엮음;안재선 그림","","2019","9791157560691","","7","85","808.3","1","0","2019-12-24",
"131000420","(How so? 필독도서 세계 명작문학) 목걸이 외","기드 모파상 지음;이상교 엮음;정종해 그림","한국셰익스피어","2019","9791157565313","","7","84","808.3","1","0","2019-12-24",
"131000419","(How so? 필독도서 세계 명작문학) 도련님","나쓰메 소세키 지음;김상진 엮음;김순남 그림","","2019","9791157560622","","7","83","808.3","1","0","2019-12-24",
"131000418","(How so? 필독도서 세계 명작문학) 젊은 예술가의 초상","제임스 조이스 지음;최규순 엮음;김정진 그림","","2019","9791157560677","","7","82","808.3","1","0","2019-12-24",
"131000417","(How so? 필독도서 세계 명작문학) 사람은 무엇으로 사는가 외","레프 톨스토이 지음;김종년 엮음;김윤명 그림","","2019","9791157560172","","7","81","808.3","1","0","2019-12-24",
"130939291","(How so? 필독도서 세계 명작문학) 지킬 박사와 하이드","로버트 스티븐슨 지음;김연 엮음;정윤철 그림","","2019","9791157560127","","7","80","808.3","1","0","2019-12-24",
"130939290","(How so? 필독도서 세계 명작문학) 왕자와 거지","마크 트웨인 지음;이상교 엮음;최호정 그림","","2019","9791157560202","","7","79","808.3","1","0","2019-12-24",
"130939289","(How so? 필독도서 세계 명작문학) 동굴의 여왕","헨리 라이더 해거드 지음;이상교 엮음;최호정 그림","한국셰익스피어","2019","9791157565351","","7","78","808.3","1","0","2019-12-24",
"130939288","(How so? 필독도서 세계 명작문학) 물의 아이들","찰스 킹즐리 지음;장경원 엮음;홍우리 그림","한국셰익스피어","2019","9791157565399","","7","77","808.3","1","0","2019-12-24",
"130939287","(How so? 필독도서 세계 명작문학) 큰 바위 얼굴 외","너대니얼 호손 지음;송재찬 엮음;이현주 그림","한국셰익스피어","2019","9791157565382","","7","76","808.3","1","0","2019-12-24",
"130939286","(How so? 필독도서 세계 명작문학) 늑대개, 화이트 팽","잭 런던 지음;이잠 엮음;김은영 그림","한국셰익스피어","2019","9791157565375","","7","75","808.3","1","0","2019-12-24",
"130939285","(How so? 필독도서 세계 명작문학) 모래 요정과 다섯 아이들","에디스 네스빗 지음;장희정 엮음;손샛별 그림","한국셰익스피어","2019","9791157565337","","7","74","808.3","1","0","2019-12-24",
"130939284","(How so? 필독도서 세계 명작문학) 꼬마 철학자 ","알퐁스 도데 지음 ;차보금 엮음 ;김정진 그림","한국셰익스피어","[2019]","9791157565320","","7","73","808.3","1","0","2019-12-24",
"130939283","(How so? 필독도서 세계 명작문학) 제인 에어","샬럿 브론테 지음;김연 엮음;안성연 그림","","2019","9791157560684","","7","72","808.3","1","0","2019-12-24",
"130939282","(How so? 필독도서 세계 명작문학) 대장 불리바","니콜라이 고골 지음;안선모 엮음;이주영 그림","","2019","9791157560226","","7","71","808.3","1","0","2019-12-24",
"130939281","(How so? 필독도서 세계 명작문학) 비밀의 화원","프랜시스 호지슨 버넷 지음;박찬미 엮음;송인자 그림","","2019","9791157560660","","7","70","808.3","1","0","2019-12-24",
"130939280","(How so? 필독도서 세계 명작문학) 당나귀 까디숑","세귀르 백작 부인 지음;안선모 엮음;정민혜 그림","한국셰익스피어","2019","9791157565214","","7","69","808.3","1","0","2019-12-24",
"130939279","(How so? 필독도서 세계 명작문학) 폼페이 최후의 날","에드워드 불워 리턴 지음;이미애 엮음;김희정 그림","한국셰익스피어","2019","9791157565221","","7","68","808.3","1","0","2019-12-24",
"130939278","(How so? 필독도서 세계 명작문학) 천로역정","존 버니언 지음;봉현주 엮음;신경란 그림","한국셰익스피어","2019","9791157565207","","7","67","808.3","1","0","2019-12-24",
"130939277","(How so? 필독도서 세계 명작문학) 북풍의 등에서","조지 맥도널드 지음;서보현 엮음;채윤 그림","한국셰익스피어","2019","9791157565276","","7","66","808.3","1","0","2019-12-24",
"130939276","(How so? 필독도서 세계 명작문학) 은하철도의 밤","미야자와 겐지 지음;정재은 엮음;윤종태 그림","한국헤르만헤세(KoreaHermannhesse)","2019","9791157560219","","7","65","808.3","1","0","2019-12-24",
"130939275","(How so? 필독도서 세계 명작문학) 공주와 고블린","조지 맥도널드 지음;서정아 엮음;이상인 그림","한국셰익스피어","2019","9791157565245","","7","64","808.3","1","0","2019-12-24",
"130939274","(How so? 필독도서 세계 명작문학) 햄릿 외","윌리엄 셰익스피어 지음;노지영 엮음;이주윤 그림","","2019","9791157560233","","7","63","808.3","1","0","2019-12-24",
"130939273","(How so? 필독도서 세계 명작문학) 크리스마스 캐럴","찰스 디킨스 지음;김연 엮음;전혜원 그림","","2019","9791157560165","","7","62","808.3","1","0","2019-12-24",
"130939272","(How so? 필독도서 세계 명작문학) 하늘을 나는 교실","에리히 캐스트너 지음;박찬미 엮음;하람 그림","","2019","9791157560639","","7","61","808.3","1","0","2019-12-24",
"130939271","(How so? 필독도서 세계 명작문학) 솔로몬 왕의 보물","헨리 라이더 해거드 지음;이붕 엮음;이주영 그림","한국셰익스피어","2019","9791157565238","","7","60","808.3","1","0","2019-12-24",
"130939270","(How so? 필독도서 세계 명작문학) 알프스 소녀 하이디","요한나 슈피리 지음;박찬미 엮음;이미정 그림","","2019","9791157560646","","7","59","808.3","1","0","2019-12-24",
"130939269","(How so? 필독도서 세계 명작문학) 어린 왕자","앙투안 드 생텍쥐페리 지음;신정민 엮음;한지선 그림","","2019","9791157560189","","7","58","808.3","1","0","2019-12-24",
"130939268","(How so? 필독도서 세계 명작문학) 캔터베리 이야기","제프리 초서 지음;신자은 엮음;박혜진 그림","한국셰익스피어","2019","9791157565290","","7","57","808.3","1","0","2019-12-24",
"130939267","(How so? 필독도서 세계 명작문학) 기찻길의 아이들","에디스 네스빗 지음;최미혜 엮음;유현준 그림","한국셰익스피어","2019","9791157565283","","7","56","808.3","1","0","2019-12-24",
"130939266","(How so? 필독도서 세계 명작문학) 빨간 머리 앤","루시 모드 몽고메리 지음;이소은 엮음;장선환 그림","","2019","9791157560615","","7","55","808.3","1","1","2019-12-24",
"130939265","(How so? 필독도서 세계 명작문학) 아서왕 이야기","토머스 맬러리 지음;서장원 엮음;최철민 그림","","2019","9791157560103","","7","54","808.3","1","0","2019-12-24",
"130939264","(How so? 필독도서 세계 명작문학) 오페라의 유령","가스통 르루 지음;유혜영 엮음;정윤철 그림","","2019","9791157560479","","7","53","808.3","1","0","2019-12-24",
"130939263","(How so? 필독도서 세계 명작문학) 지혜로운 나탄","코트홀트 에프라임 레싱 지음;조원규 엮음;원현진 그림","","2019","9791157560523","","7","52","808.3","1","0","2019-12-24",
"130939262","(How so? 필독도서 세계 명작문학) 모비 딕","허먼 멜빌 지음;황인원 엮음;박준 그림","","2019","9791157560547","","7","51","808.3","1","0","2019-12-24",
"130939261","(How so? 필독도서 세계 명작문학) 시턴 동물기","어니스트 톰슨 시턴 지음;신정민 엮음;박준 그림","","2019","9791157560424","","7","50","808.3","1","0","2019-12-24",
"130939260","(How so? 필독도서 세계 명작문학) 올리버 트위스트","찰스 디킨스 지음;김상진 엮음;조지령 그림","","2019","9791157560493","","7","35","808.3","1","0","2019-12-24",
"130939259","(How so? 필독도서 세계 명작문학) 파브르 곤충기","장 앙리 파브르 지음;신정민 엮음;오현균 그림","","2019","9791157560417","","7","49","808.3","1","0","2019-12-24",
"130939258","(How so? 필독도서 세계 명작문학) 파우스트","요한 볼프강 폰 괴테 지음;조원규 엮음;윤종태 그림","","2019","9791157560271","","7","48","808.3","1","0","2019-12-24",
"130939257","(How so? 필독도서 세계 명작문학) 마르셀의 추억","마르셀 파뇰 지음;김상진 엮음;김영수 그림","","2019","9791157560264","","7","47","808.3","1","0","2019-12-24",
"130939256","(How so? 필독도서 세계 명작문학) 리어 왕 외","윌리엄 셰익스피어 지음;정재은 엮음;권영묵 그림","한국셰익스피어","2019","9791157560257","","7","46","808.3","1","0","2019-12-24",
"130939255","(How so? 필독도서 세계 명작문학) 삐삐 롱스타킹","아스트리드 린드그렌 지음;김상진 엮음;박정미 그림","한국셰익스피어","2019","9791157560356","","7","45","808.3","1","0","2019-12-24",
"130939254","(How so? 필독도서 세계 명작문학) 아이반호","윌터 스콧 지음;송재찬 엮음;한동훈 그림","한국셰익스피어","2019","9791157565368","","7","44","808.3","1","0","2019-12-24",
"130939253","(How so? 필독도서 세계 명작문학) 버드나무에 부는 바람","케네스 그레이엄 지음;장경원 엮음;이갑규 그림","한국셰익스피어","2019","9791157565269","","7","43","808.3","1","0","2019-12-24",
"130939252","(How so? 필독도서 세계 명작문학) 몬테크리스토 백작","알렉상드르 뒤마 지음;김연 엮음;최창훈 그림","","2019","9791157560400","","7","42","808.3","1","0","2019-12-24",
"130939251","(How so? 필독도서 세계 명작문학) 노인과 바다","어니스트 헤밍웨이 지음;박찬미 엮음;홍영지 그림","","2019","9791157560240","","7","41","808.3","1","0","2019-12-24",
"130939250","(How so? 필독도서 세계 명작문학) 로빈 후드","하워드 파일 지음;김경우 엮음;김세진 그림","","2019","9791157560349","","7","40","808.3","1","0","2019-12-24",
"130939249","(How so? 필독도서 세계 명작문학) 빨간 별꽃","베로네스 오르치 지음;양승현 엮음;우미영 그림","한국셰익스피어","2019","9791157565351","","7","39","808.3","1","0","2019-12-24",
