관리번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"130928713","북극곰 ","노베르트 로징 사진·글 ;이순영 옮김","북극곰","2012","9788996309383","","0","","491.52","1","0","2019-12-24",
"130928712","가장 쉬운 이모티콘 만들기 ","정수진 지음","정보문화사","2019","9788956748443","","1","","331.62","1","0","2019-12-24",
"130928711","(가장 완전하게 만든) Moomin ","토베 얀손 원작 ;글: 필립 아다;프랭크 코트렐 보이스 ;옮김: 김옥수","이퍼블릭","2018","9791160573442","","0","","859.7","1","0","2019-12-24",
"130928710","제발 내 뱃살 좀 빼주세요 :기적의 3일 뱃살 쏙 다이어트 ","모리타 아이코 지음 ;윤지나 옮김","북오션","2018","9788967993801","","1","","593.5","1","0","2019-12-24",
"127287242","열아홉 레시피","이주현;노송희 외 [지음]","","2018","9788937439438","","0","","813.7","1","0","2019-12-06",
"127287241","나는 조선의 소년 비행사입니다 ","한정영 지음","다른","2019","9791156332640","","","","813.7","1","0","2019-12-06",
"127287240","폴리네시아에서 온 아이 ","코슈카 지음 ;톰 오구마 그림 ;곽노경 옮김","라임","2019","9791189208301","","4","","863","1","0","2019-12-06",
"127287238","낯선 동행 :이경순 청소년소설 ","지은이: 이경순","답게","2019","9788975743085","","4","","813.7","1","0","2019-12-06",
"127287237","두 소녀의 용기 :중·고교생 자녀와 부모가 꼭 읽어야 할 책 ","이규희 글","답게","2019","9788975743078","","4","","813.7","1","0","2019-12-06",
"127287236","과학책 읽어주는 공대생 :요즘 공대생이 탐한 과학 고전들 ","조승연 지음","뜨인돌","2019","9788958077275","","0","","404","1","0","2019-12-06",
"127287235","여성의 종속 ","존 스튜어트 밀 지음 ;서병훈 옮김","책세상","2018","9791159312243","","0","","337.2","1","0","2019-12-06",
"127287234","검은 개 :추정경 장편소설 ","지은이: 추정경","다산북스","2019","9791130620220","","0","","813.7","1","0","2019-12-06",
"127287233","사이언스 소믈리에=Science sommelier","지음: 강석기","MID(엠아이디)","2015","9788996612292","","0","","404","1","0","2019-12-06",
"127287162","사회계약론 (중학생이 보는)","장 자크 루소","신원문화사","2012","9788935916184","9788935915828","","","","1","0","2019-12-06",
"122476108","아침의 재발견 :최고의 인생을 만드는 아침 습관의 힘 ","모기 겐이치로 지음 ;조혜선 옮김","비즈니스북스","2019","9791162541005","","0","","325.211","1","1","2019-10-11",
"122476107","평소의 발견","유병욱 지음","북하우스 퍼블리셔스","2019","9791164050321","","0","","818","1","1","2019-10-11",
"122476106","수리수리 집수리:집을 수리하고 삶을 수리하는 건축가 김재관의 집과 사람 이야기","김재관 지음","문학동네","2019","9788954657457","","0","","542.8","1","1","2019-10-11",
"122476105","나는 초민감자입니다 :지나친 공감 능력 때문에 힘든 사람을 위한 심리치료실 ","주디스 올로프 지음 ;최지원 옮김","라이팅하우스","2019","9788998075644","","0","","182.12","1","1","2019-10-11",
"122476104","사람일까 상황일까:태도와 행동을 결정짓는 숨은 힘 ","리처드 니스벳;리 로스 지음 ;김호 옮김","심심","2019","9791156757924","","0","","331.1","1","1","2019-10-11",
"122476103","책의 책 :우리 시대 가장 영향력 있는 물건의 역사 ","지은이: 키스 휴스턴 ;옮긴이: 이은진","김영사","2019","9788934998983","","0","","010.9","1","0","2019-10-11",
"122476102","나는 내 나이가 참 좋다 :우아하고 지혜롭게 세월의 강을 항해하는 법 ","메리 파이퍼 지음 ;서유라 옮김","티라미수 더북","2019","9791160575910","","0","","189.1","1","0","2019-10-11",
"122476101","플레이버 보이 =Flavor boy :당신의 혀를 매혹시키는 바람난 맛(風味)에 관하여 ","장준우 지음","어바웃어북","2019","9791187150602","","0","","594.019","1","0","2019-10-11",
"122476100","책꽂이 투쟁기 ","김흥식 지음","그림씨","2019","9791189231217","","0","","029.04","1","0","2019-10-11",
"122476099","어웨이크 :익숙함을 버리고 불편함을 선택하라 ","피터 홀린스 지음 ;공민희 옮김","포레스트북스","2019","9791189584351","","0","","189","1","1","2019-10-11",
"122476098","어쩌다 우리 사이가 이렇게 됐을까 :힘든 관계와 작별하고 홀가분해지는 심리수업 ","일자 샌드 지음 ;이은경 옮김","인플루엔셜(주)","2019","9791189995348","","0","","189.2","1","1","2019-10-11",
"122476097","정적 :나를 변화시키는 조용한 기적 ","배철현 지음","21세기북스","2019","9788950982676","","0","","104","1","1","2019-10-11",
"122476096","수집가의 철학 :휴대전화 컬렉터가 세계 유일의 폰박물관을 만들기까지 ","이병철 지음","천년의상상","2019","9791185811895","","0","","326.463","1","0","2019-10-11",
"122476095","(만화로 보는) 조승연 이우일의 단어인문학","조승연 글 ;이우일 그림","김영사","2018","9788934983132","","0","1","802","1","1","2019-10-11",
