기간,자치구,전체세대,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대 이상
2017,합계,"4,220,082","1,608,998","867,814","776,452","735,420","176,927","40,051","10,106","2,772",897,645
2017,종로구,"73,594","35,539","13,600","10,925","9,844","2,717",668,209,58,21,13
2017,중구,"60,412","28,845","12,224","9,206","7,517","1,936",501,120,34,12,17
2017,용산구,"107,666","49,518","21,720","16,934","14,452","3,753",923,234,79,27,26
2017,성동구,"132,902","51,798","27,999","24,603","21,768","5,002","1,260",331,93,28,20
2017,광진구,"160,798","68,171","31,806","27,507","25,725","5,745","1,359",340,97,28,20
2017,동대문구,"159,938","70,090","31,663","26,511","23,485","6,127","1,546",363,103,32,18
2017,중랑구,"179,132","69,385","39,419","33,027","28,498","6,869","1,455",352,96,18,13
2017,성북구,"187,112","69,365","38,281","35,319","33,216","8,184","1,987",557,125,33,45
2017,강북구,"142,533","54,745","32,534","26,345","21,711","5,526","1,262",270,85,30,25
2017,도봉구,"137,378","41,294","31,810","29,112","26,717","6,470","1,449",359,113,37,17
2017,노원구,"217,619","64,810","46,592","45,562","47,593","10,354","2,075",436,128,40,29
2017,은평구,"202,839","70,698","45,192","39,648","35,350","9,107","2,106",538,134,37,29
2017,서대문구,"137,266","55,117","28,458","24,332","22,047","5,515","1,312",349,86,26,24
2017,마포구,"169,408","71,949","34,690","28,724","26,036","6,163","1,343",347,90,38,28
2017,양천구,"176,649","47,379","35,589","38,567","42,582","9,777","2,059",466,153,45,32
2017,강서구,"254,257","91,595","54,914","49,020","44,792","10,925","2,226",562,143,51,29
2017,구로구,"171,570","60,669","37,054","32,991","30,792","7,686","1,788",408,128,33,21
2017,금천구,"106,066","44,496","22,240","18,232","15,903","3,926",953,222,55,23,16
2017,영등포구,"167,355","72,378","33,120","28,372","25,600","6,022","1,348",368,80,35,32
2017,동작구,"172,995","68,697","35,530","30,962","28,615","7,017","1,591",428,99,35,21
2017,관악구,"255,352","133,850","47,431","34,845","29,543","7,319","1,718",462,126,30,28
2017,서초구,"173,594","55,973","33,829","34,428","37,230","9,097","2,136",612,185,59,45
2017,강남구,"231,612","87,820","42,114","42,031","45,784","10,507","2,381",659,189,88,39
2017,송파구,"264,628","85,227","52,978","54,090","55,878","12,730","2,776",677,186,54,32
2017,강동구,"177,407","59,590","37,027","35,159","34,742","8,453","1,829",437,107,37,26
