기간,구분,구분,계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상+
2018,합계,계,"9,642,857.00","337,202.00","371,313.50","384,218.00","486,575.50","662,001.00","775,678.00","737,480.00","808,602.50","743,259.00","843,981.00","743,730.50","767,415.50","642,225.00","453,065.50","354,695.00","276,788.00","154,066.50","69,438.50","24,424.50","5,895.50",802
2018,합계,남자,"4,717,644.00","172,832.00","190,384.00","198,088.00","250,793.00","327,753.00","385,148.00","367,906.50","405,488.00","368,860.50","418,033.00","365,634.50","370,317.50","305,031.50","213,892.50","164,067.50","124,441.00","60,211.50","21,501.50","5,801.50","1,325.50",133.5
2018,합계,여자,"4,925,213.00","164,370.00","180,929.50","186,130.00","235,782.50","334,248.00","390,530.00","369,573.50","403,114.50","374,398.50","425,948.00","378,096.00","397,098.00","337,193.50","239,173.00","190,627.50","152,347.00","93,855.00","47,937.00","18,623.00","4,570.00",668.5
2018,종로구,계,"148,325.50","3,989.00","4,792.50","5,334.50","7,259.50","11,233.00","12,375.00","10,345.50","10,546.00","10,335.50","13,241.50","12,230.50","12,330.00","10,047.00","7,102.00","6,152.00","5,571.50","3,234.00","1,493.50",546.5,142,24.5
2018,종로구,남자,"72,712.50","2,023.00","2,445.50","2,726.50","3,652.00","5,497.50","6,445.50","5,208.00","5,167.50","4,936.50","6,537.00","6,094.00","6,259.00","5,052.50","3,399.00","2,750.50","2,483.00","1,310.00",521,163,38,3.5
2018,종로구,여자,"75,613.00","1,966.00","2,347.00","2,608.00","3,607.50","5,735.50","5,929.50","5,137.50","5,378.50","5,399.00","6,704.50","6,136.50","6,071.00","4,994.50","3,703.00","3,401.50","3,088.50","1,924.00",972.5,383.5,104,21
2018,중구,계,"121,382.00","4,012.00","3,732.50","3,302.00","4,532.00","7,855.00","10,142.00","9,903.50","10,333.50","8,695.00","9,999.50","9,592.50","10,463.50","8,921.00","6,220.00","5,068.50","4,344.00","2,498.50","1,218.00",440,90,19
2018,중구,남자,"59,907.50","2,008.00","1,883.00","1,627.50","2,347.00","3,810.00","5,083.50","4,949.50","5,248.50","4,492.50","5,129.00","4,861.50","5,324.50","4,501.50","3,035.00","2,306.50","1,857.50",911.5,379.5,120.5,26.5,4.5
2018,중구,여자,"61,474.50","2,004.00","1,849.50","1,674.50","2,185.00","4,045.00","5,058.50","4,954.00","5,085.00","4,202.50","4,870.50","4,731.00","5,139.00","4,419.50","3,185.00","2,762.00","2,486.50","1,587.00",838.5,319.5,63.5,14.5
2018,용산구,계,"219,034.00","7,341.50","7,607.50","7,609.50","9,738.00","13,735.50","18,043.50","18,177.50","19,130.00","16,672.50","19,459.00","16,741.50","17,141.00","14,317.50","9,924.50","8,246.00","7,407.50","4,609.00","2,149.00",755,198.5,30
2018,용산구,남자,"106,355.00","3,815.00","3,880.50","3,870.50","5,018.00","6,614.00","8,888.50","9,105.50","9,500.00","8,191.00","9,643.50","8,346.50","8,395.00","6,977.50","4,655.50","3,620.00","3,151.00","1,698.00",726.5,196.5,54.5,7.5
2018,용산구,여자,"112,679.00","3,526.50","3,727.00","3,739.00","4,720.00","7,121.50","9,155.00","9,072.00","9,630.00","8,481.50","9,815.50","8,395.00","8,746.00","7,340.00","5,269.00","4,626.00","4,256.50","2,911.00","1,422.50",558.5,144,22.5
2018,성동구,계,"300,991.50","12,285.00","10,959.50","10,183.50","13,098.00","20,960.50","25,159.50","24,961.50","27,359.00","23,089.50","25,564.50","23,389.00","24,289.50","19,350.00","13,078.00","10,646.00","8,711.00","4,960.50","2,076.00",671.5,175,24.5
2018,성동구,남자,"148,051.50","6,241.00","5,605.50","5,145.50","6,511.50","10,389.00","12,689.00","12,204.50","13,819.50","11,770.00","12,813.00","11,620.00","12,224.50","9,463.00","6,205.00","4,810.50","3,816.50","1,891.00",619.5,167,42.5,3.5
2018,성동구,여자,"152,940.00","6,044.00","5,354.00","5,038.00","6,586.50","10,571.50","12,470.50","12,757.00","13,539.50","11,319.50","12,751.50","11,769.00","12,065.00","9,887.00","6,873.00","5,835.50","4,894.50","3,069.50","1,456.50",504.5,132.5,21
2018,광진구,계,"351,215.00","11,500.00","12,180.00","12,999.00","16,944.50","26,786.50","33,787.50","30,405.50","29,816.00","26,234.50","30,035.50","27,343.00","27,826.00","22,149.00","14,796.50","11,512.00","8,911.00","4,888.50","2,157.50",724,188,30.5
2018,광진구,남자,"170,848.50","5,903.50","6,276.00","6,626.00","8,680.50","12,670.50","16,410.00","15,033.00","14,885.50","13,018.50","14,612.00","13,357.00","13,431.00","10,652.50","7,032.00","5,370.50","4,071.00","1,917.50",677,183.5,37,4
2018,광진구,여자,"180,366.50","5,596.50","5,904.00","6,373.00","8,264.00","14,116.00","17,377.50","15,372.50","14,930.50","13,216.00","15,423.50","13,986.00","14,395.00","11,496.50","7,764.50","6,141.50","4,840.00","2,971.00","1,480.50",540.5,151,26.5
2018,동대문구,계,"342,485.00","11,291.50","11,977.50","11,705.00","15,392.00","25,588.00","28,230.50","24,681.00","27,651.00","25,131.00","28,339.50","26,094.00","27,995.50","24,197.00","17,386.50","14,506.00","11,975.00","6,482.50","2,701.00",906.5,224,30
2018,동대문구,남자,"170,870.00","5,848.50","6,121.00","6,029.50","7,780.00","12,612.00","15,051.50","12,817.00","14,285.00","12,988.00","14,523.00","13,225.50","13,771.50","11,793.50","8,280.50","6,585.00","5,364.00","2,615.50",899,223,52.5,4.5
2018,동대문구,여자,"171,615.00","5,443.00","5,856.50","5,675.50","7,612.00","12,976.00","13,179.00","11,864.00","13,366.00","12,143.00","13,816.50","12,868.50","14,224.00","12,403.50","9,106.00","7,921.00","6,611.00","3,867.00","1,802.00",683.5,171.5,25.5
2018,중랑구,계,"399,875.50","13,428.50","13,708.50","13,313.50","18,157.50","26,748.50","30,812.50","29,727.00","32,460.00","28,109.50","33,796.50","33,787.00","36,833.00","29,935.00","20,513.50","15,860.00","12,276.00","6,463.50","2,747.50",935,232,31
2018,중랑구,남자,"198,698.00","6,886.50","6,985.00","6,811.00","9,411.50","13,705.50","15,334.00","15,212.00","17,096.00","14,604.50","17,031.50","16,573.50","18,147.50","14,626.00","9,855.50","7,322.50","5,501.00","2,575.50",769,203,43,4
2018,중랑구,여자,"201,177.50","6,542.00","6,723.50","6,502.50","8,746.00","13,043.00","15,478.50","14,515.00","15,364.00","13,505.00","16,765.00","17,213.50","18,685.50","15,309.00","10,658.00","8,537.50","6,775.00","3,888.00","1,978.50",732,189,27
2018,성북구,계,"432,108.50","14,703.50","17,725.50","18,346.50","22,411.00","31,199.50","32,067.50","28,661.00","33,817.50","34,061.00","39,633.00","33,218.50","33,476.50","28,331.50","20,356.00","16,978.00","14,382.50","7,920.50","3,378.00","1,144.00",264.5,32.5
2018,성북구,남자,"210,416.00","7,520.00","9,098.00","9,487.50","11,320.00","15,003.50","16,371.00","14,299.00","16,786.50","16,869.00","19,913.00","16,406.50","16,162.50","13,402.00","9,421.00","7,492.00","6,311.50","3,131.00","1,074.50",274.5,64,9
2018,성북구,여자,"221,692.50","7,183.50","8,627.50","8,859.00","11,091.00","16,196.00","15,696.50","14,362.00","17,031.00","17,192.00","19,720.00","16,812.00","17,314.00","14,929.50","10,935.00","9,486.00","8,071.00","4,789.50","2,303.50",869.5,200.5,23.5
2018,강북구,계,"316,094.00","9,099.00","10,576.00","10,962.50","14,947.00","21,281.50","22,361.00","20,083.50","23,753.00","23,106.00","27,735.00","25,454.00","27,578.50","23,553.50","17,835.50","15,202.00","12,541.00","6,401.50","2,538.50",841.5,215,28.5
