기간,자치구,행정동,구분,계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
2019.3/4,합계,합계,계,10025927,312975,369515,376470,465006,696103,843338,754115,817931,743660,864408,805601,802554,706105,486035,386169,295641,176111,78957,30220,8816,6197
2019.3/4,합계,합계,한국인,9740398,305099,362980,372523,456055,649060,811282,724217,794359,723860,840237,777110,769806,692350,482105,384779,294994,175707,78768,30144,8788,6175
2019.3/4,합계,합계,외국인,285529,7876,6535,3947,8951,47043,32056,29898,23572,19800,24171,28491,32748,13755,3930,1390,647,404,189,76,28,22
2019.3/4,종로구,소계,계,162860,3759,4842,5328,7548,15060,14009,11098,11170,10557,13740,13327,13567,11461,7925,6733,5918,3787,1786,720,276,249
2019.3/4,종로구,소계,한국인,151767,3610,4676,5214,6742,11032,12577,10222,10458,9976,13205,12770,12961,11143,7808,6681,5897,3774,1778,718,276,249
2019.3/4,종로구,소계,외국인,11093,149,166,114,806,4028,1432,876,712,581,535,557,606,318,117,52,21,13,8,2,-,-
2019.3/4,종로구,사직동,계,9700,276,367,381,375,540,711,717,731,738,853,770,784,684,451,422,371,291,134,64,22,18
2019.3/4,종로구,사직동,한국인,9415,266,358,373,368,523,699,675,678,699,825,746,770,673,449,418,369,289,133,64,22,18
2019.3/4,종로구,사직동,외국인,285,10,9,8,7,17,12,42,53,39,28,24,14,11,2,4,2,2,1,-,-,-
2019.3/4,종로구,삼청동,계,3013,61,89,120,118,172,186,205,247,222,213,217,249,264,172,154,147,90,55,18,6,8
2019.3/4,종로구,삼청동,한국인,2771,49,65,106,107,165,178,191,216,184,199,206,237,238,161,149,146,87,55,18,6,8
2019.3/4,종로구,삼청동,외국인,242,12,24,14,11,7,8,14,31,38,14,11,12,26,11,5,1,3,-,-,-,-
2019.3/4,종로구,부암동,계,10525,233,354,436,512,832,834,667,759,681,964,900,831,768,474,459,347,262,126,53,23,10
2019.3/4,종로구,부암동,한국인,10017,233,351,433,500,652,739,579,696,657,948,892,825,765,471,456,347,262,125,53,23,10
2019.3/4,종로구,부암동,외국인,508,-,3,3,12,180,95,88,63,24,16,8,6,3,3,3,-,-,1,-,-,-
2019.3/4,종로구,평창동,계,18830,522,686,739,1036,1351,1279,1089,1267,1204,1652,1682,1695,1408,917,763,645,460,258,112,40,25
2019.3/4,종로구,평창동,한국인,18677,519,683,736,1032,1344,1269,1082,1249,1184,1636,1672,1674,1390,910,761,643,458,258,112,40,25
2019.3/4,종로구,평창동,외국인,153,3,3,3,4,7,10,7,18,20,16,10,21,18,7,2,2,2,-,-,-,-
2019.3/4,종로구,무악동,계,8745,313,438,498,556,508,452,415,592,687,940,693,699,552,411,347,295,208,78,35,14,14
2019.3/4,종로구,무악동,한국인,8697,311,434,498,556,503,450,409,587,683,927,691,694,552,411,347,295,208,78,35,14,14
2019.3/4,종로구,무악동,외국인,48,2,4,-,-,5,2,6,5,4,13,2,5,-,-,-,-,-,-,-,-,-
2019.3/4,종로구,교남동,계,10779,467,477,427,447,591,735,865,1023,895,1029,823,770,672,468,394,335,218,84,32,13,14
2019.3/4,종로구,교남동,한국인,10624,462,473,419,443,585,726,837,1003,873,1019,811,760,663,466,391,334,218,83,31,13,14
2019.3/4,종로구,교남동,외국인,155,5,4,8,4,6,9,28,20,22,10,12,10,9,2,3,1,-,1,1,-,-
2019.3/4,종로구,가회동,계,4487,85,132,166,202,226,260,290,344,348,459,372,378,309,262,227,211,106,63,32,5,10
