기간	자치구	행정동	구분	계	0~4세	5~9세	10~14세	15~19세	20~24세	25~29세	30~34세	35~39세	40~44세	45~49세	50~54세	55~59세	60~64세	65~69세	70~74세	75~79세	80~84세	85~89세	90~94세	95~99세	100세 이상
2019.3/4	합계	합계	계	10,025,927	312,975	369,515	376,470	465,006	696,103	843,338	754,115	817,931	743,660	864,408	805,601	802,554	706,105	486,035	386,169	295,641	176,111	78,957	30,220	8,816	6,197
2019.3/4	합계	합계	한국인	9,740,398	305,099	362,980	372,523	456,055	649,060	811,282	724,217	794,359	723,860	840,237	777,110	769,806	692,350	482,105	384,779	294,994	175,707	78,768	30,144	8,788	6,175
2019.3/4	합계	합계	외국인	285,529	7,876	6,535	3,947	8,951	47,043	32,056	29,898	23,572	19,800	24,171	28,491	32,748	13,755	3,930	1,390	647	404	189	76	28	22
2019.3/4	종로구	소계	계	162,860	3,759	4,842	5,328	7,548	15,060	14,009	11,098	11,170	10,557	13,740	13,327	13,567	11,461	7,925	6,733	5,918	3,787	1,786	720	276	249
2019.3/4	종로구	소계	한국인	151,767	3,610	4,676	5,214	6,742	11,032	12,577	10,222	10,458	9,976	13,205	12,770	12,961	11,143	7,808	6,681	5,897	3,774	1,778	718	276	249
2019.3/4	종로구	소계	외국인	11,093	149	166	114	806	4,028	1,432	876	712	581	535	557	606	318	117	52	21	13	8	2	-	-
2019.3/4	종로구	사직동	계	9,700	276	367	381	375	540	711	717	731	738	853	770	784	684	451	422	371	291	134	64	22	18
2019.3/4	종로구	사직동	한국인	9,415	266	358	373	368	523	699	675	678	699	825	746	770	673	449	418	369	289	133	64	22	18
2019.3/4	종로구	사직동	외국인	285	10	9	8	7	17	12	42	53	39	28	24	14	11	2	4	2	2	1	-	-	-
2019.3/4	종로구	삼청동	계	3,013	61	89	120	118	172	186	205	247	222	213	217	249	264	172	154	147	90	55	18	6	8
2019.3/4	종로구	삼청동	한국인	2,771	49	65	106	107	165	178	191	216	184	199	206	237	238	161	149	146	87	55	18	6	8
2019.3/4	종로구	삼청동	외국인	242	12	24	14	11	7	8	14	31	38	14	11	12	26	11	5	1	3	-	-	-	-
2019.3/4	종로구	부암동	계	10,525	233	354	436	512	832	834	667	759	681	964	900	831	768	474	459	347	262	126	53	23	10
2019.3/4	종로구	부암동	한국인	10,017	233	351	433	500	652	739	579	696	657	948	892	825	765	471	456	347	262	125	53	23	10
2019.3/4	종로구	부암동	외국인	508	-	3	3	12	180	95	88	63	24	16	8	6	3	3	3	-	-	1	-	-	-
2019.3/4	종로구	평창동	계	18,830	522	686	739	1,036	1,351	1,279	1,089	1,267	1,204	1,652	1,682	1,695	1,408	917	763	645	460	258	112	40	25
2019.3/4	종로구	평창동	한국인	18,677	519	683	736	1,032	1,344	1,269	1,082	1,249	1,184	1,636	1,672	1,674	1,390	910	761	643	458	258	112	40	25
2019.3/4	종로구	평창동	외국인	153	3	3	3	4	7	10	7	18	20	16	10	21	18	7	2	2	2	-	-	-	-
2019.3/4	종로구	무악동	계	8,745	313	438	498	556	508	452	415	592	687	940	693	699	552	411	347	295	208	78	35	14	14
2019.3/4	종로구	무악동	한국인	8,697	311	434	498	556	503	450	409	587	683	927	691	694	552	411	347	295	208	78	35	14	14
2019.3/4	종로구	무악동	외국인	48	2	4	-	-	5	2	6	5	4	13	2	5	-	-	-	-	-	-	-	-	-
2019.3/4	종로구	교남동	계	10,779	467	477	427	447	591	735	865	1,023	895	1,029	823	770	672	468	394	335	218	84	32	13	14
2019.3/4	종로구	교남동	한국인	10,624	462	473	419	443	585	726	837	1,003	873	1,019	811	760	663	466	391	334	218	83	31	13	14
